id,produto,quantidade,preço,data
1,cachecol de lã,10,50.00,01/06/2023
2,luvas de couro,7,80.00,02/06/2023
3,suéter de algodão,12,90.00,03/06/2023
4,bermuda jeans,15,60.00,04/06/2023
5,saia plissada,8,70.00,05/06/2023
6,sandália rasteira,10,45.00,06/06/2023
7,calça cargo,6,100.00,07/06/2023
8,blusa ombro a ombro,12,55.00,08/06/2023
9,camisa xadrez,9,60.00,09/06/2023
10,jaqueta bomber,5,150.00,10/06/2023
11,tênis casual,8,130.00,11/06/2023
12,meias de lã,20,15.00,12/06/2023
13,blusa de tule,6,75.00,13/06/2023
14,vestido de festa,4,250.00,14/06/2023
15,calça de veludo,5,120.00,15/06/2023
16,blazer feminino,7,180.00,16/06/2023
17,chapéu panamá,6,85.00,17/06/2023
18,sapato oxford,9,200.00,18/06/2023
19,camisa estampada,12,55.00,19/06/2023
20,vestido longo,5,180.00,20/06/2023
21,calça de alfaiataria,7,110.00,21/06/2023
22,blusa de renda,8,65.00,22/06/2023
23,cardigan de malha,6,90.00,23/06/2023
24,blusa cropped,10,50.00,24/06/2023
25,short de veludo,7,55.00,25/06/2023
26,cachecol de lã,10,50.00,01/06/2023
27,luvas de couro,7,80.00,02/06/2023
28,suéter de algodão,12,90.00,03/06/2023
29,bermuda jeans,15,60.00,04/06/2023
30,saia plissada,8,70.00,05/06/2023
31,sandália rasteira,10,45.00,06/06/2023
32,calça cargo,6,100.00,07/06/2023
33,blusa ombro a ombro,12,55.00,08/06/2023
34,camisa xadrez,9,60.00,09/06/2023
35,jaqueta bomber,5,150.00,10/06/2023
36,tênis casual,8,130.00,11/06/2023
37,meias de lã,20,15.00,12/06/2023
38,blusa de tule,6,75.00,13/06/2023
39,vestido de festa,4,250.00,14/06/2023
40,calça de veludo,5,120.00,15/06/2023
41,blazer feminino,7,180.00,16/06/2023
42,chapéu panamá,6,85.00,17/06/2023
43,sapato oxford,9,200.00,18/06/2023
44,camisa estampada,12,55.00,19/06/2023
45,vestido longo,5,180.00,20/06/2023
46,calça de alfaiataria,7,110.00,21/06/2023
47,blusa de renda,8,65.00,22/06/2023
48,cardigan de malha,6,90.00,23/06/2023
49,blusa cropped,10,50.00,24/06/2023
50,short de veludo,7,55.00,25/06/2023
